aaaGene	Serum_ERR1801007
GPFGEMDG_00292	1225
GPFGEMDG_00293	1120
GPFGEMDG_00294	545
GPFGEMDG_00295	0
GPFGEMDG_00296	49
GPFGEMDG_00297	0
GPFGEMDG_00298	725
GPFGEMDG_00299	0
GPFGEMDG_00300	0
GPFGEMDG_00301	0
GPFGEMDG_00305	123
GPFGEMDG_00306	157
GPFGEMDG_00307	0
GPFGEMDG_00308	0
GPFGEMDG_00312	0
GPFGEMDG_00315	0
GPFGEMDG_00317	49
GPFGEMDG_00318	0
GPFGEMDG_00321	82
GPFGEMDG_00322	0
GPFGEMDG_00324	1071
GPFGEMDG_00326	5950
GPFGEMDG_00332	0
GPFGEMDG_00335	0
GPFGEMDG_00348	0
GPFGEMDG_00349	0
GPFGEMDG_00351	0
GPFGEMDG_00352	0
GPFGEMDG_00354	8502
GPFGEMDG_00355	934
GPFGEMDG_00362	0
GPFGEMDG_00363	0
GPFGEMDG_00364	182
GPFGEMDG_00365	0
GPFGEMDG_00366	6816
GPFGEMDG_00368	1353
GPFGEMDG_00377	46
GPFGEMDG_00378	5084
GPFGEMDG_00379	218
GPFGEMDG_00381	0
GPFGEMDG_00382	0
GPFGEMDG_00387	563
GPFGEMDG_00391	319
GPFGEMDG_00398	165
GPFGEMDG_00399	0
GPFGEMDG_00403	963
GPFGEMDG_00405	0
GPFGEMDG_00406	0
GPFGEMDG_00417	0
GPFGEMDG_00418	0
GPFGEMDG_00419	86
GPFGEMDG_00420	56
GPFGEMDG_00426	0
GPFGEMDG_00427	127
GPFGEMDG_00431	0
GPFGEMDG_00432	2508
GPFGEMDG_00433	0
GPFGEMDG_00434	0
GPFGEMDG_00436	2571
GPFGEMDG_00437	0
GPFGEMDG_00438	1
GPFGEMDG_00439	0
GPFGEMDG_00440	528
GPFGEMDG_00445	99
GPFGEMDG_00452	97
GPFGEMDG_00456	0
GPFGEMDG_00460	0
GPFGEMDG_00461	0
GPFGEMDG_00463	479
GPFGEMDG_00464	0
GPFGEMDG_00465	8905
GPFGEMDG_00466	1502
GPFGEMDG_00467	31
GPFGEMDG_00468	0
GPFGEMDG_00469	0
GPFGEMDG_00471	2175
GPFGEMDG_00515	0
GPFGEMDG_00516	0
GPFGEMDG_00532	164
GPFGEMDG_00533	648
GPFGEMDG_00534	14
GPFGEMDG_00535	170
GPFGEMDG_00536	512
GPFGEMDG_00537	107
GPFGEMDG_00538	32
GPFGEMDG_00539	0
GPFGEMDG_00540	232
GPFGEMDG_00541	0
GPFGEMDG_00544	626
GPFGEMDG_00546	1171
GPFGEMDG_00557	0
GPFGEMDG_00563	121
GPFGEMDG_00564	0
GPFGEMDG_00570	0
GPFGEMDG_00572	1226
GPFGEMDG_00596	833
GPFGEMDG_00598	0
GPFGEMDG_00599	0
GPFGEMDG_00601	858
GPFGEMDG_00602	0
GPFGEMDG_00606	0
GPFGEMDG_00610	692
GPFGEMDG_00615	723
GPFGEMDG_00628	0
GPFGEMDG_00632	0
GPFGEMDG_00633	0
GPFGEMDG_00634	600
GPFGEMDG_00636	245
GPFGEMDG_00641	502
GPFGEMDG_00644	0
GPFGEMDG_00646	268
GPFGEMDG_00647	94
GPFGEMDG_00649	641
GPFGEMDG_00650	706
GPFGEMDG_00651	0
GPFGEMDG_00652	0
GPFGEMDG_00653	114
GPFGEMDG_00655	3094
GPFGEMDG_00658	309
GPFGEMDG_00659	733
GPFGEMDG_00661	169
GPFGEMDG_00662	0
GPFGEMDG_00664	1409
GPFGEMDG_00665	3343
GPFGEMDG_00666	0
GPFGEMDG_00667	542
GPFGEMDG_00669	0
GPFGEMDG_00670	2291
GPFGEMDG_00671	230
GPFGEMDG_00674	0
GPFGEMDG_00676	0
GPFGEMDG_00679	446
GPFGEMDG_00680	0
GPFGEMDG_00681	0
GPFGEMDG_00682	1806
GPFGEMDG_00683	0
GPFGEMDG_00685	2353
GPFGEMDG_00689	325
GPFGEMDG_00693	2258
GPFGEMDG_00694	5984
GPFGEMDG_00697	579
GPFGEMDG_00699	11532
GPFGEMDG_00702	0
GPFGEMDG_00706	0
GPFGEMDG_00707	0
GPFGEMDG_00708	3567
GPFGEMDG_00709	74
GPFGEMDG_00713	55
GPFGEMDG_00714	1
GPFGEMDG_00717	0
GPFGEMDG_00718	0
GPFGEMDG_00728	0
GPFGEMDG_00729	15
GPFGEMDG_00731	0
GPFGEMDG_00732	92
GPFGEMDG_00734	0
GPFGEMDG_00736	115
GPFGEMDG_00751	107
GPFGEMDG_00752	3610
GPFGEMDG_00753	0
GPFGEMDG_00754	767
GPFGEMDG_00755	153
GPFGEMDG_00768	0
GPFGEMDG_00769	0
GPFGEMDG_00771	23
GPFGEMDG_00772	117
GPFGEMDG_00787	0
GPFGEMDG_00818	0
GPFGEMDG_00822	8538
GPFGEMDG_00823	447
GPFGEMDG_00825	6370
GPFGEMDG_00827	690
GPFGEMDG_00830	63
GPFGEMDG_00831	75
GPFGEMDG_00832	267
GPFGEMDG_00833	0
GPFGEMDG_00834	1246
GPFGEMDG_00836	1316
GPFGEMDG_00837	0
GPFGEMDG_00841	613
GPFGEMDG_00844	14319
GPFGEMDG_00849	2258
GPFGEMDG_00850	219
GPFGEMDG_00852	0
GPFGEMDG_00853	286
GPFGEMDG_00855	4605
GPFGEMDG_00860	134
GPFGEMDG_00861	2043
GPFGEMDG_00871	547
GPFGEMDG_00875	484
GPFGEMDG_00877	0
GPFGEMDG_00886	0
GPFGEMDG_00889	0
GPFGEMDG_00890	876
GPFGEMDG_00892	568
GPFGEMDG_00893	0
GPFGEMDG_00899	114
GPFGEMDG_00900	0
GPFGEMDG_00901	1697
GPFGEMDG_00902	0
GPFGEMDG_00906	0
GPFGEMDG_00907	24
GPFGEMDG_00908	0
GPFGEMDG_00909	3374
GPFGEMDG_00910	51
GPFGEMDG_00911	0
GPFGEMDG_00920	1672
GPFGEMDG_00922	0
GPFGEMDG_00933	0
GPFGEMDG_00934	0
GPFGEMDG_00940	0
GPFGEMDG_00945	27
GPFGEMDG_00949	0
GPFGEMDG_00950	608
GPFGEMDG_00953	1420
GPFGEMDG_00957	108
GPFGEMDG_00958	69
GPFGEMDG_00965	715
GPFGEMDG_00966	170
GPFGEMDG_00967	0
GPFGEMDG_00970	1031
GPFGEMDG_00975	105
GPFGEMDG_00977	0
GPFGEMDG_00978	515
GPFGEMDG_00982	0
GPFGEMDG_00983	98
GPFGEMDG_00984	0
GPFGEMDG_00985	0
GPFGEMDG_00987	164
GPFGEMDG_00988	1386
GPFGEMDG_00991	0
GPFGEMDG_00994	376
GPFGEMDG_00996	562
GPFGEMDG_01000	346
GPFGEMDG_01001	0
GPFGEMDG_01002	0
GPFGEMDG_01003	34
GPFGEMDG_01004	0
GPFGEMDG_01005	0
GPFGEMDG_01006	373
GPFGEMDG_01007	225
GPFGEMDG_01008	0
GPFGEMDG_01009	0
GPFGEMDG_01010	0
GPFGEMDG_01011	0
GPFGEMDG_01012	67
GPFGEMDG_01013	0
GPFGEMDG_01014	0
GPFGEMDG_01015	0
GPFGEMDG_01016	991
GPFGEMDG_01017	0
GPFGEMDG_01018	2
GPFGEMDG_01019	0
GPFGEMDG_01020	0
GPFGEMDG_01021	0
GPFGEMDG_01022	0
GPFGEMDG_01023	0
GPFGEMDG_01024	0
GPFGEMDG_01025	0
GPFGEMDG_01026	0
GPFGEMDG_01027	0
GPFGEMDG_01028	0
GPFGEMDG_01029	0
GPFGEMDG_01030	0
GPFGEMDG_01031	0
GPFGEMDG_01033	996
GPFGEMDG_01034	1088
GPFGEMDG_01035	14
GPFGEMDG_01036	53
GPFGEMDG_01037	2444
GPFGEMDG_01038	2445
GPFGEMDG_01039	0
GPFGEMDG_01040	287
GPFGEMDG_01041	602
GPFGEMDG_01042	0
GPFGEMDG_01043	0
GPFGEMDG_01044	0
GPFGEMDG_01045	2789
GPFGEMDG_01046	0
GPFGEMDG_01047	0
GPFGEMDG_01048	71
GPFGEMDG_01049	0
GPFGEMDG_01050	630
GPFGEMDG_01051	0
GPFGEMDG_01052	0
GPFGEMDG_01053	446
GPFGEMDG_01054	870
GPFGEMDG_01055	1348
GPFGEMDG_01057	0
GPFGEMDG_01058	0
GPFGEMDG_01059	0
GPFGEMDG_01060	0
GPFGEMDG_01061	0
GPFGEMDG_01062	0
GPFGEMDG_01063	0
GPFGEMDG_01066	0
GPFGEMDG_01067	0
GPFGEMDG_01068	0
GPFGEMDG_01069	0
GPFGEMDG_01070	0
GPFGEMDG_01071	0
GPFGEMDG_01072	0
GPFGEMDG_01074	1299
GPFGEMDG_01075	0
GPFGEMDG_01077	0
GPFGEMDG_01080	0
GPFGEMDG_01086	0
GPFGEMDG_01087	0
GPFGEMDG_01092	0
GPFGEMDG_01095	1
GPFGEMDG_01100	1
GPFGEMDG_01102	0
GPFGEMDG_01104	0
GPFGEMDG_01108	0
GPFGEMDG_01112	0
GPFGEMDG_01113	0
GPFGEMDG_01114	0
GPFGEMDG_01115	0
GPFGEMDG_01117	316
GPFGEMDG_01119	0
GPFGEMDG_01128	0
GPFGEMDG_01129	60
GPFGEMDG_01133	0
GPFGEMDG_01134	0
GPFGEMDG_01139	2576
GPFGEMDG_01141	0
GPFGEMDG_01156	839
GPFGEMDG_01158	0
GPFGEMDG_01160	0
GPFGEMDG_01161	0
GPFGEMDG_01162	334
GPFGEMDG_01163	0
GPFGEMDG_01164	0
GPFGEMDG_01167	0
GPFGEMDG_01171	0
GPFGEMDG_01174	0
GPFGEMDG_01176	0
GPFGEMDG_01181	0
GPFGEMDG_01206	0
GPFGEMDG_01211	52
GPFGEMDG_01212	40
GPFGEMDG_01213	2
GPFGEMDG_01222	250
GPFGEMDG_01223	107
GPFGEMDG_01224	0
GPFGEMDG_01225	0
GPFGEMDG_01227	385
GPFGEMDG_01228	0
GPFGEMDG_01229	126
GPFGEMDG_01230	0
GPFGEMDG_01231	0
GPFGEMDG_01232	607
GPFGEMDG_01233	27
GPFGEMDG_01240	0
GPFGEMDG_01241	0
GPFGEMDG_01247	0
GPFGEMDG_01254	0
GPFGEMDG_01255	0
GPFGEMDG_01256	1408
GPFGEMDG_01258	326
GPFGEMDG_01261	0
GPFGEMDG_01266	0
GPFGEMDG_01267	0
GPFGEMDG_01269	0
GPFGEMDG_01270	21
GPFGEMDG_01274	162
GPFGEMDG_01275	0
GPFGEMDG_01279	0
GPFGEMDG_01283	0
GPFGEMDG_01285	0
GPFGEMDG_01290	3557
GPFGEMDG_01291	1651
GPFGEMDG_01292	61
GPFGEMDG_01293	51
GPFGEMDG_01294	103
GPFGEMDG_01301	23
GPFGEMDG_01303	203
GPFGEMDG_01304	511
GPFGEMDG_01305	0
GPFGEMDG_01307	0
GPFGEMDG_01308	35
GPFGEMDG_01313	0
GPFGEMDG_01314	190
GPFGEMDG_01316	4103
GPFGEMDG_01318	0
GPFGEMDG_01321	0
GPFGEMDG_01333	164
GPFGEMDG_01339	31
GPFGEMDG_01340	1203
GPFGEMDG_01341	784
GPFGEMDG_01342	1
GPFGEMDG_01343	0
GPFGEMDG_01345	0
GPFGEMDG_01346	0
GPFGEMDG_01347	0
GPFGEMDG_01350	0
GPFGEMDG_01356	0
GPFGEMDG_01358	3248
GPFGEMDG_01360	541
GPFGEMDG_01361	0
GPFGEMDG_01362	106
GPFGEMDG_01363	1299
GPFGEMDG_01365	3629
GPFGEMDG_01367	0
GPFGEMDG_01369	2724
GPFGEMDG_01376	348
GPFGEMDG_01377	2228
GPFGEMDG_01379	0
GPFGEMDG_01382	491
GPFGEMDG_01386	0
GPFGEMDG_01393	0
GPFGEMDG_01404	562
GPFGEMDG_01416	0
GPFGEMDG_01420	0
GPFGEMDG_01423	0
GPFGEMDG_01424	27
GPFGEMDG_01425	718
GPFGEMDG_01430	0
GPFGEMDG_01431	0
GPFGEMDG_01434	0
GPFGEMDG_01436	0
GPFGEMDG_01437	0
GPFGEMDG_01441	0
GPFGEMDG_01443	0
GPFGEMDG_01444	119
GPFGEMDG_01446	0
GPFGEMDG_01448	0
GPFGEMDG_01449	1233
GPFGEMDG_01450	235
GPFGEMDG_01451	0
GPFGEMDG_01452	360
GPFGEMDG_01453	0
GPFGEMDG_01454	430
GPFGEMDG_01455	0
GPFGEMDG_01456	149
GPFGEMDG_01458	1999
GPFGEMDG_01459	0
GPFGEMDG_01460	0
GPFGEMDG_01461	601
GPFGEMDG_01462	0
GPFGEMDG_01465	0
GPFGEMDG_01478	2324
GPFGEMDG_01484	0
GPFGEMDG_01485	0
GPFGEMDG_01486	0
GPFGEMDG_01487	225
GPFGEMDG_01490	0
GPFGEMDG_01493	0
GPFGEMDG_01496	1331
GPFGEMDG_01498	0
GPFGEMDG_01500	0
GPFGEMDG_01501	0
GPFGEMDG_01505	73
GPFGEMDG_01506	77
GPFGEMDG_01510	30
GPFGEMDG_01511	0
GPFGEMDG_01514	99
GPFGEMDG_01518	0
GPFGEMDG_01519	0
GPFGEMDG_01520	536
GPFGEMDG_01521	34
GPFGEMDG_01523	480
GPFGEMDG_01524	2945
GPFGEMDG_01526	615
GPFGEMDG_01531	3
GPFGEMDG_01534	0
GPFGEMDG_01535	592
GPFGEMDG_01552	61
GPFGEMDG_01553	0
GPFGEMDG_01554	0
GPFGEMDG_01555	127
GPFGEMDG_01560	0
GPFGEMDG_01562	1046
GPFGEMDG_01563	164
GPFGEMDG_01566	629
GPFGEMDG_01568	224
GPFGEMDG_01569	3420
GPFGEMDG_01571	100
GPFGEMDG_01573	0
GPFGEMDG_01576	0
GPFGEMDG_01577	4081
GPFGEMDG_01578	16
GPFGEMDG_01579	8977
GPFGEMDG_01580	3
GPFGEMDG_01581	2335
GPFGEMDG_01582	0
GPFGEMDG_01584	4804
GPFGEMDG_01592	0
GPFGEMDG_01594	2388
GPFGEMDG_01595	9180
GPFGEMDG_01596	343
GPFGEMDG_01598	0
GPFGEMDG_01601	0
GPFGEMDG_01602	0
GPFGEMDG_01603	0
GPFGEMDG_01604	2
GPFGEMDG_01605	0
GPFGEMDG_01606	162
GPFGEMDG_01609	1055
GPFGEMDG_01610	196
GPFGEMDG_01611	756
GPFGEMDG_01616	1263
GPFGEMDG_01618	1801
GPFGEMDG_01623	361
GPFGEMDG_01624	0
GPFGEMDG_01627	1410
GPFGEMDG_01628	255
GPFGEMDG_01629	84
GPFGEMDG_01635	193
GPFGEMDG_01636	0
GPFGEMDG_01641	0
GPFGEMDG_01642	582
GPFGEMDG_01644	0
GPFGEMDG_01646	2759
GPFGEMDG_01650	0
GPFGEMDG_01651	0
GPFGEMDG_01652	343
GPFGEMDG_01653	0
GPFGEMDG_01654	123
GPFGEMDG_01655	23
GPFGEMDG_01656	441
GPFGEMDG_01657	0
GPFGEMDG_01658	0
GPFGEMDG_01659	0
GPFGEMDG_01660	0
GPFGEMDG_01661	0
GPFGEMDG_01662	103
GPFGEMDG_01665	0
GPFGEMDG_01669	0
GPFGEMDG_01671	0
GPFGEMDG_01672	0
GPFGEMDG_01673	1928
GPFGEMDG_01674	0
GPFGEMDG_01675	0
GPFGEMDG_01677	0
GPFGEMDG_01678	1864
GPFGEMDG_01681	182
GPFGEMDG_01682	4018
GPFGEMDG_01687	3307
GPFGEMDG_01689	0
GPFGEMDG_01691	1486
GPFGEMDG_01693	2394
GPFGEMDG_01696	0
GPFGEMDG_01697	0
GPFGEMDG_01698	7573
GPFGEMDG_01699	13808
GPFGEMDG_01703	0
GPFGEMDG_01706	1126
GPFGEMDG_01709	0
GPFGEMDG_01710	9471
GPFGEMDG_01711	4372
GPFGEMDG_01712	0
GPFGEMDG_01713	0
GPFGEMDG_01716	0
GPFGEMDG_01717	0
GPFGEMDG_01718	175
GPFGEMDG_01720	0
GPFGEMDG_01721	208
GPFGEMDG_01724	239
GPFGEMDG_01726	0
GPFGEMDG_01727	0
GPFGEMDG_01731	0
GPFGEMDG_01738	153
GPFGEMDG_01739	2034
GPFGEMDG_01743	0
GPFGEMDG_01745	0
GPFGEMDG_01748	0
GPFGEMDG_01749	0
GPFGEMDG_01750	0
GPFGEMDG_01751	2888
GPFGEMDG_01752	158
GPFGEMDG_01756	0
GPFGEMDG_01771	0
GPFGEMDG_01783	6814
GPFGEMDG_01784	161
GPFGEMDG_01785	0
GPFGEMDG_01789	0
GPFGEMDG_01790	544
GPFGEMDG_01792	0
GPFGEMDG_01798	0
GPFGEMDG_01799	558
GPFGEMDG_01800	11175
GPFGEMDG_01801	246
GPFGEMDG_01802	0
GPFGEMDG_01803	0
GPFGEMDG_01804	149
GPFGEMDG_01805	11027
GPFGEMDG_01806	1
GPFGEMDG_01808	0
GPFGEMDG_01810	0
GPFGEMDG_01811	0
GPFGEMDG_01822	0
GPFGEMDG_01824	1339
GPFGEMDG_01828	56
GPFGEMDG_01839	0
GPFGEMDG_01867	0
GPFGEMDG_01868	95
GPFGEMDG_01869	0
GPFGEMDG_01872	48
GPFGEMDG_01881	0
GPFGEMDG_01883	0
GPFGEMDG_01885	0
GPFGEMDG_01887	0
GPFGEMDG_01888	0
GPFGEMDG_01890	331
GPFGEMDG_01891	129
GPFGEMDG_01892	0
GPFGEMDG_01893	0
GPFGEMDG_01894	0
GPFGEMDG_01895	0
GPFGEMDG_01896	0
GPFGEMDG_01898	1789
GPFGEMDG_01900	4363
GPFGEMDG_01901	94
GPFGEMDG_01902	46
GPFGEMDG_01903	1067
GPFGEMDG_01904	913
GPFGEMDG_01905	0
GPFGEMDG_01906	787
GPFGEMDG_01907	1586
GPFGEMDG_01908	916
GPFGEMDG_01909	7080
GPFGEMDG_01910	119
GPFGEMDG_01911	0
GPFGEMDG_01912	464
GPFGEMDG_01913	699
GPFGEMDG_01914	396
GPFGEMDG_01915	58
GPFGEMDG_01916	1280
GPFGEMDG_01917	0
GPFGEMDG_01918	51
GPFGEMDG_01919	0
GPFGEMDG_01920	0
GPFGEMDG_01921	4
GPFGEMDG_01922	0
GPFGEMDG_01923	0
GPFGEMDG_01924	0
GPFGEMDG_01925	0
GPFGEMDG_01926	0
GPFGEMDG_01927	593
GPFGEMDG_01928	0
GPFGEMDG_01929	0
GPFGEMDG_01930	0
GPFGEMDG_01931	0
GPFGEMDG_01932	0
GPFGEMDG_01933	69
GPFGEMDG_01934	0
GPFGEMDG_01935	0
GPFGEMDG_01938	9
GPFGEMDG_01939	2180
GPFGEMDG_01942	5
GPFGEMDG_01943	1791
GPFGEMDG_01944	2449
GPFGEMDG_01945	0
GPFGEMDG_01946	4712
GPFGEMDG_01947	0
GPFGEMDG_01948	0
GPFGEMDG_01950	0
GPFGEMDG_01951	1463
GPFGEMDG_01952	0
GPFGEMDG_01953	0
GPFGEMDG_01954	0
GPFGEMDG_01955	0
GPFGEMDG_01956	306
GPFGEMDG_01957	0
GPFGEMDG_01965	0
GPFGEMDG_01966	130
GPFGEMDG_01969	0
GPFGEMDG_01970	2
GPFGEMDG_01972	1138
GPFGEMDG_01973	0
GPFGEMDG_01975	0
GPFGEMDG_01976	1005
GPFGEMDG_01977	235
GPFGEMDG_01981	0
GPFGEMDG_01982	0
GPFGEMDG_01984	0
GPFGEMDG_01985	1821
GPFGEMDG_01989	85
GPFGEMDG_01990	1268
GPFGEMDG_01991	0
GPFGEMDG_01992	2
GPFGEMDG_01993	0
GPFGEMDG_01994	0
GPFGEMDG_01995	2794
GPFGEMDG_01996	637
GPFGEMDG_01997	402
GPFGEMDG_01998	0
GPFGEMDG_02000	103
GPFGEMDG_02001	0
GPFGEMDG_02002	275
GPFGEMDG_02003	317
GPFGEMDG_02004	0
GPFGEMDG_02005	0
GPFGEMDG_02006	0
GPFGEMDG_02007	30
GPFGEMDG_02019	1887
GPFGEMDG_02020	0
GPFGEMDG_02021	0
GPFGEMDG_02022	0
GPFGEMDG_02023	1842
GPFGEMDG_02024	644
GPFGEMDG_02025	104
GPFGEMDG_02026	0
GPFGEMDG_02028	2147
GPFGEMDG_02029	0
GPFGEMDG_02030	1909
GPFGEMDG_02031	0
GPFGEMDG_02032	0
GPFGEMDG_02033	3781
GPFGEMDG_02034	0
GPFGEMDG_02036	0
GPFGEMDG_02037	925
GPFGEMDG_02038	0
GPFGEMDG_02040	38
GPFGEMDG_02043	0
GPFGEMDG_02044	0
GPFGEMDG_02045	0
GPFGEMDG_02046	905
GPFGEMDG_02047	84
GPFGEMDG_02051	145
GPFGEMDG_02052	0
GPFGEMDG_02058	0
GPFGEMDG_02059	0
GPFGEMDG_02063	0
GPFGEMDG_02064	0
GPFGEMDG_02066	0
GPFGEMDG_02067	386
GPFGEMDG_02068	0
GPFGEMDG_02069	0
GPFGEMDG_02070	0
GPFGEMDG_02072	0
GPFGEMDG_02073	0
GPFGEMDG_02074	0
GPFGEMDG_02075	0
GPFGEMDG_02076	0
GPFGEMDG_02077	0
GPFGEMDG_02078	0
GPFGEMDG_02080	0
GPFGEMDG_02081	13
GPFGEMDG_02082	0
GPFGEMDG_02083	369
GPFGEMDG_02084	6103
GPFGEMDG_02085	100
GPFGEMDG_02086	0
GPFGEMDG_02087	0
GPFGEMDG_02092	911
GPFGEMDG_02093	0
GPFGEMDG_02097	449
GPFGEMDG_02100	0
GPFGEMDG_02101	31
GPFGEMDG_02104	0
GPFGEMDG_02105	2537
GPFGEMDG_02106	0
GPFGEMDG_02107	0
GPFGEMDG_02109	1216
GPFGEMDG_02111	62
GPFGEMDG_02113	517
GPFGEMDG_02123	0
GPFGEMDG_02124	55
GPFGEMDG_02125	243
GPFGEMDG_02140	435
GPFGEMDG_02148	780
GPFGEMDG_02150	84
GPFGEMDG_02164	0
GPFGEMDG_02166	471
GPFGEMDG_02167	0
GPFGEMDG_02172	0
GPFGEMDG_02173	0
GPFGEMDG_02178	0
GPFGEMDG_02179	1301
GPFGEMDG_02180	94
GPFGEMDG_02182	597
GPFGEMDG_02183	191
GPFGEMDG_02196	0
GPFGEMDG_02199	0
GPFGEMDG_02202	0
GPFGEMDG_02205	0
GPFGEMDG_02208	4591
GPFGEMDG_02209	0
GPFGEMDG_02211	0
GPFGEMDG_02224	262
GPFGEMDG_02227	48
GPFGEMDG_02229	0
GPFGEMDG_02230	0
GPFGEMDG_02231	0
GPFGEMDG_02245	2456
GPFGEMDG_02260	293
GPFGEMDG_02261	0
GPFGEMDG_02264	1037
GPFGEMDG_02269	106
GPFGEMDG_02275	419
GPFGEMDG_02277	2221
GPFGEMDG_02278	5159
GPFGEMDG_02279	822
GPFGEMDG_02280	0
GPFGEMDG_02281	0
GPFGEMDG_02283	54
GPFGEMDG_02286	212
GPFGEMDG_02287	6189
GPFGEMDG_02288	93
GPFGEMDG_02289	19
GPFGEMDG_02290	194
GPFGEMDG_02291	1443
GPFGEMDG_02292	4695
GPFGEMDG_02293	0
GPFGEMDG_02294	81
GPFGEMDG_02295	293
GPFGEMDG_02296	0
GPFGEMDG_02297	0
GPFGEMDG_02298	0
GPFGEMDG_02299	0
GPFGEMDG_02300	0
GPFGEMDG_02301	0
GPFGEMDG_02302	0
GPFGEMDG_02303	1313
GPFGEMDG_02304	0
GPFGEMDG_02305	0
GPFGEMDG_02306	0
GPFGEMDG_02308	0
GPFGEMDG_02310	0
GPFGEMDG_02313	144
GPFGEMDG_02314	0
GPFGEMDG_02315	1011
GPFGEMDG_02318	0
GPFGEMDG_02319	116
GPFGEMDG_02324	2192
GPFGEMDG_02331	0
GPFGEMDG_02335	0
GPFGEMDG_02337	358
GPFGEMDG_02338	120
GPFGEMDG_02339	104
GPFGEMDG_02340	3659
GPFGEMDG_02341	0
GPFGEMDG_02344	128
GPFGEMDG_02345	103
GPFGEMDG_02352	40
GPFGEMDG_02354	445
GPFGEMDG_02356	0
GPFGEMDG_02357	0
GPFGEMDG_02359	0
GPFGEMDG_02363	41
GPFGEMDG_02364	0
GPFGEMDG_02365	0
GPFGEMDG_02370	721
GPFGEMDG_02373	3068
GPFGEMDG_02375	1169
GPFGEMDG_02376	218
GPFGEMDG_02378	0
GPFGEMDG_02380	650
GPFGEMDG_02383	0
GPFGEMDG_02385	41
GPFGEMDG_02386	2441
GPFGEMDG_02387	0
GPFGEMDG_02388	0
GPFGEMDG_02390	25
GPFGEMDG_02391	514
GPFGEMDG_02394	3850
GPFGEMDG_02396	98
GPFGEMDG_02398	48
