aaaGene	BHI_ERR1801014
GPFGEMDG_00226	56
GPFGEMDG_00229	0
GPFGEMDG_00231	5138
GPFGEMDG_00233	1606
GPFGEMDG_00237	0
GPFGEMDG_00238	2230
GPFGEMDG_00240	182
GPFGEMDG_00241	3782
GPFGEMDG_00246	0
GPFGEMDG_00252	1355
GPFGEMDG_00255	139
GPFGEMDG_00256	0
GPFGEMDG_00259	196
GPFGEMDG_00260	669
GPFGEMDG_00261	0
GPFGEMDG_00262	2883
GPFGEMDG_00265	0
GPFGEMDG_00269	104
GPFGEMDG_00271	116
GPFGEMDG_00272	0
GPFGEMDG_00273	0
GPFGEMDG_00274	0
GPFGEMDG_00275	285
GPFGEMDG_00277	1726
GPFGEMDG_00278	0
GPFGEMDG_00283	0
GPFGEMDG_00284	5
GPFGEMDG_00285	0
GPFGEMDG_00286	563
GPFGEMDG_00288	61
GPFGEMDG_00289	0
GPFGEMDG_00290	0
GPFGEMDG_00291	0
GPFGEMDG_00292	751
GPFGEMDG_00293	1032
GPFGEMDG_00294	391
GPFGEMDG_00295	0
GPFGEMDG_00296	92
GPFGEMDG_00297	0
GPFGEMDG_00298	473
GPFGEMDG_00299	0
GPFGEMDG_00300	0
GPFGEMDG_00301	0
GPFGEMDG_00305	71
GPFGEMDG_00306	0
GPFGEMDG_00307	0
GPFGEMDG_00308	0
GPFGEMDG_00312	0
GPFGEMDG_00315	0
GPFGEMDG_00317	0
GPFGEMDG_00318	0
GPFGEMDG_00321	223
GPFGEMDG_00322	0
GPFGEMDG_00324	525
GPFGEMDG_00326	7087
GPFGEMDG_00332	0
GPFGEMDG_00335	0
GPFGEMDG_00348	0
GPFGEMDG_00349	0
GPFGEMDG_00351	0
GPFGEMDG_00352	0
GPFGEMDG_00354	7231
GPFGEMDG_00355	545
GPFGEMDG_00362	0
GPFGEMDG_00363	307
GPFGEMDG_00364	235
GPFGEMDG_00365	0
GPFGEMDG_00366	4362
GPFGEMDG_00368	542
GPFGEMDG_00377	0
GPFGEMDG_00378	6218
GPFGEMDG_00379	49
GPFGEMDG_00381	0
GPFGEMDG_00382	0
GPFGEMDG_00387	349
GPFGEMDG_00391	0
GPFGEMDG_00398	141
GPFGEMDG_00399	0
GPFGEMDG_00403	1549
GPFGEMDG_00405	0
GPFGEMDG_00406	0
GPFGEMDG_00417	0
GPFGEMDG_00418	0
GPFGEMDG_00419	0
GPFGEMDG_00420	52
GPFGEMDG_00426	0
GPFGEMDG_00427	0
GPFGEMDG_00431	0
GPFGEMDG_00432	1949
GPFGEMDG_00433	0
GPFGEMDG_00434	0
GPFGEMDG_00436	2088
GPFGEMDG_00437	0
GPFGEMDG_00438	2
GPFGEMDG_00439	0
GPFGEMDG_00440	249
GPFGEMDG_00445	117
GPFGEMDG_00452	127
GPFGEMDG_00456	0
GPFGEMDG_00460	0
GPFGEMDG_00461	0
GPFGEMDG_00463	261
GPFGEMDG_00464	0
GPFGEMDG_00465	9302
GPFGEMDG_00466	558
GPFGEMDG_00467	1
GPFGEMDG_00468	0
GPFGEMDG_00469	0
GPFGEMDG_00471	1478
GPFGEMDG_00515	0
GPFGEMDG_00516	1
GPFGEMDG_00532	347
GPFGEMDG_00533	1452
GPFGEMDG_00534	0
GPFGEMDG_00535	182
GPFGEMDG_00536	923
GPFGEMDG_00537	0
GPFGEMDG_00538	0
GPFGEMDG_00539	0
GPFGEMDG_00540	0
GPFGEMDG_00541	0
GPFGEMDG_00544	624
GPFGEMDG_00546	0
GPFGEMDG_00557	0
GPFGEMDG_00563	0
GPFGEMDG_00564	0
GPFGEMDG_00570	0
GPFGEMDG_00572	911
GPFGEMDG_00596	981
GPFGEMDG_00598	0
GPFGEMDG_00599	0
GPFGEMDG_00601	1058
GPFGEMDG_00602	0
GPFGEMDG_00606	110
GPFGEMDG_00610	241
GPFGEMDG_00615	737
GPFGEMDG_00628	0
GPFGEMDG_00632	0
GPFGEMDG_00633	0
GPFGEMDG_00634	515
GPFGEMDG_00636	266
GPFGEMDG_00641	646
GPFGEMDG_00644	0
GPFGEMDG_00646	351
GPFGEMDG_00647	0
GPFGEMDG_00649	468
GPFGEMDG_00650	362
GPFGEMDG_00651	0
GPFGEMDG_00652	0
GPFGEMDG_00653	0
GPFGEMDG_00655	1667
GPFGEMDG_00658	0
GPFGEMDG_00659	643
GPFGEMDG_00661	152
GPFGEMDG_00662	0
GPFGEMDG_00664	1594
GPFGEMDG_00665	3578
GPFGEMDG_00666	0
GPFGEMDG_00667	192
GPFGEMDG_00669	0
GPFGEMDG_00670	1585
GPFGEMDG_00671	0
GPFGEMDG_00674	0
GPFGEMDG_00676	0
GPFGEMDG_00679	0
GPFGEMDG_00680	0
GPFGEMDG_00681	183
GPFGEMDG_00682	2290
GPFGEMDG_00683	0
GPFGEMDG_00685	606
GPFGEMDG_00689	562
GPFGEMDG_00693	2564
GPFGEMDG_00694	4870
GPFGEMDG_00697	1079
GPFGEMDG_00699	10207
GPFGEMDG_00702	0
GPFGEMDG_00706	0
GPFGEMDG_00707	0
GPFGEMDG_00708	5699
GPFGEMDG_00709	225
GPFGEMDG_00713	0
GPFGEMDG_00714	0
GPFGEMDG_00717	0
GPFGEMDG_00718	0
GPFGEMDG_00728	0
GPFGEMDG_00729	0
GPFGEMDG_00731	0
GPFGEMDG_00732	246
GPFGEMDG_00734	0
GPFGEMDG_00736	72
GPFGEMDG_00751	120
GPFGEMDG_00752	2341
GPFGEMDG_00753	0
GPFGEMDG_00754	451
GPFGEMDG_00755	104
GPFGEMDG_00768	0
GPFGEMDG_00769	0
GPFGEMDG_00771	0
GPFGEMDG_00772	132
GPFGEMDG_00787	0
GPFGEMDG_00818	0
GPFGEMDG_00822	4604
GPFGEMDG_00823	221
GPFGEMDG_00825	4570
GPFGEMDG_00827	520
GPFGEMDG_00830	219
GPFGEMDG_00831	0
GPFGEMDG_00832	146
GPFGEMDG_00833	0
GPFGEMDG_00834	746
GPFGEMDG_00836	618
GPFGEMDG_00837	0
GPFGEMDG_00841	16
GPFGEMDG_00844	8747
GPFGEMDG_00849	1751
GPFGEMDG_00850	0
GPFGEMDG_00852	0
GPFGEMDG_00853	463
GPFGEMDG_00855	4352
GPFGEMDG_00860	276
GPFGEMDG_00861	2345
GPFGEMDG_00871	430
GPFGEMDG_00875	265
GPFGEMDG_00877	0
GPFGEMDG_00886	0
GPFGEMDG_00889	0
GPFGEMDG_00890	451
GPFGEMDG_00892	0
GPFGEMDG_00893	0
GPFGEMDG_00899	122
GPFGEMDG_00900	0
GPFGEMDG_00901	3825
GPFGEMDG_00902	0
GPFGEMDG_00906	0
GPFGEMDG_00907	51
GPFGEMDG_00908	0
GPFGEMDG_00909	1056
GPFGEMDG_00910	62
GPFGEMDG_00911	0
GPFGEMDG_00920	1548
GPFGEMDG_00922	0
GPFGEMDG_00933	0
GPFGEMDG_00934	0
GPFGEMDG_00940	0
GPFGEMDG_00945	151
GPFGEMDG_00949	0
GPFGEMDG_00950	524
GPFGEMDG_00953	448
GPFGEMDG_00957	127
GPFGEMDG_00958	255
GPFGEMDG_00965	787
GPFGEMDG_00966	0
GPFGEMDG_00967	0
GPFGEMDG_00970	2150
GPFGEMDG_00975	117
GPFGEMDG_00977	0
GPFGEMDG_00978	470
GPFGEMDG_00982	54
GPFGEMDG_00983	0
GPFGEMDG_00984	0
GPFGEMDG_00985	0
GPFGEMDG_00987	391
GPFGEMDG_00988	1008
GPFGEMDG_00991	0
GPFGEMDG_00994	95
GPFGEMDG_00996	448
GPFGEMDG_01000	338
GPFGEMDG_01001	0
GPFGEMDG_01002	0
GPFGEMDG_01003	138
GPFGEMDG_01004	0
GPFGEMDG_01005	0
GPFGEMDG_01006	79
GPFGEMDG_01007	330
GPFGEMDG_01008	0
GPFGEMDG_01009	0
GPFGEMDG_01010	0
GPFGEMDG_01011	0
GPFGEMDG_01012	0
GPFGEMDG_01013	0
GPFGEMDG_01014	0
GPFGEMDG_01015	0
GPFGEMDG_01016	793
GPFGEMDG_01017	0
GPFGEMDG_01018	0
GPFGEMDG_01019	0
GPFGEMDG_01020	0
GPFGEMDG_01021	0
GPFGEMDG_01022	0
GPFGEMDG_01023	0
GPFGEMDG_01024	0
GPFGEMDG_01025	0
GPFGEMDG_01026	0
GPFGEMDG_01027	0
GPFGEMDG_01028	0
GPFGEMDG_01029	0
GPFGEMDG_01030	0
GPFGEMDG_01031	0
GPFGEMDG_01033	159
GPFGEMDG_01034	300
GPFGEMDG_01035	0
GPFGEMDG_01036	0
GPFGEMDG_01037	1469
GPFGEMDG_01038	1932
GPFGEMDG_01039	0
GPFGEMDG_01040	0
GPFGEMDG_01041	173
GPFGEMDG_01042	0
GPFGEMDG_01043	0
GPFGEMDG_01044	0
GPFGEMDG_01045	1679
GPFGEMDG_01046	0
GPFGEMDG_01047	0
GPFGEMDG_01048	0
GPFGEMDG_01049	0
GPFGEMDG_01050	384
GPFGEMDG_01051	0
GPFGEMDG_01052	0
GPFGEMDG_01053	914
GPFGEMDG_01054	1403
GPFGEMDG_01055	270
GPFGEMDG_01057	0
GPFGEMDG_01058	0
GPFGEMDG_01059	0
GPFGEMDG_01060	0
GPFGEMDG_01061	0
GPFGEMDG_01062	0
GPFGEMDG_01063	0
GPFGEMDG_01066	0
GPFGEMDG_01067	0
GPFGEMDG_01068	0
GPFGEMDG_01069	0
GPFGEMDG_01070	0
GPFGEMDG_01071	0
GPFGEMDG_01072	0
GPFGEMDG_01074	224
GPFGEMDG_01075	0
GPFGEMDG_01077	143
GPFGEMDG_01080	0
GPFGEMDG_01086	0
GPFGEMDG_01087	0
GPFGEMDG_01092	0
GPFGEMDG_01095	1
GPFGEMDG_01100	2
GPFGEMDG_01102	0
GPFGEMDG_01104	0
GPFGEMDG_01108	0
GPFGEMDG_01112	0
GPFGEMDG_01113	0
GPFGEMDG_01114	0
GPFGEMDG_01115	0
GPFGEMDG_01117	0
GPFGEMDG_01119	0
GPFGEMDG_01128	0
GPFGEMDG_01129	0
GPFGEMDG_01133	0
GPFGEMDG_01134	0
GPFGEMDG_01139	0
GPFGEMDG_01141	0
GPFGEMDG_01156	630
GPFGEMDG_01158	0
GPFGEMDG_01160	0
GPFGEMDG_01161	0
GPFGEMDG_01162	87
GPFGEMDG_01163	0
GPFGEMDG_01164	0
GPFGEMDG_01167	0
GPFGEMDG_01171	0
GPFGEMDG_01174	0
GPFGEMDG_01176	0
GPFGEMDG_01181	0
GPFGEMDG_01206	0
GPFGEMDG_01211	0
GPFGEMDG_01212	0
GPFGEMDG_01213	0
GPFGEMDG_01222	194
GPFGEMDG_01223	239
GPFGEMDG_01224	0
GPFGEMDG_01225	0
GPFGEMDG_01227	615
GPFGEMDG_01228	0
GPFGEMDG_01229	0
GPFGEMDG_01230	0
GPFGEMDG_01231	0
GPFGEMDG_01232	326
GPFGEMDG_01233	2
GPFGEMDG_01240	0
GPFGEMDG_01241	0
GPFGEMDG_01247	0
GPFGEMDG_01254	0
GPFGEMDG_01255	0
GPFGEMDG_01256	643
GPFGEMDG_01258	419
GPFGEMDG_01261	0
GPFGEMDG_01266	0
GPFGEMDG_01267	0
GPFGEMDG_01269	0
GPFGEMDG_01270	115
GPFGEMDG_01274	0
GPFGEMDG_01275	0
GPFGEMDG_01279	0
GPFGEMDG_01283	0
GPFGEMDG_01285	0
GPFGEMDG_01290	1025
GPFGEMDG_01291	1670
GPFGEMDG_01292	0
GPFGEMDG_01293	0
GPFGEMDG_01294	0
GPFGEMDG_01301	353
GPFGEMDG_01303	2
GPFGEMDG_01304	107
GPFGEMDG_01305	0
GPFGEMDG_01307	0
GPFGEMDG_01308	46
GPFGEMDG_01313	0
GPFGEMDG_01314	0
GPFGEMDG_01316	1614
GPFGEMDG_01318	134
GPFGEMDG_01321	0
GPFGEMDG_01333	0
GPFGEMDG_01339	124
GPFGEMDG_01340	683
GPFGEMDG_01341	114
GPFGEMDG_01342	0
GPFGEMDG_01343	0
GPFGEMDG_01345	0
GPFGEMDG_01346	1
GPFGEMDG_01347	0
GPFGEMDG_01350	0
GPFGEMDG_01356	0
GPFGEMDG_01358	1168
GPFGEMDG_01360	139
GPFGEMDG_01361	0
GPFGEMDG_01362	66
GPFGEMDG_01363	1354
GPFGEMDG_01365	895
GPFGEMDG_01367	0
GPFGEMDG_01369	1328
GPFGEMDG_01376	0
GPFGEMDG_01377	689
GPFGEMDG_01379	147
GPFGEMDG_01382	338
GPFGEMDG_01386	0
GPFGEMDG_01393	0
GPFGEMDG_01404	352
GPFGEMDG_01416	0
GPFGEMDG_01420	0
GPFGEMDG_01423	115
GPFGEMDG_01424	0
GPFGEMDG_01425	306
GPFGEMDG_01430	0
GPFGEMDG_01431	0
GPFGEMDG_01434	0
GPFGEMDG_01436	0
GPFGEMDG_01437	0
GPFGEMDG_01441	0
GPFGEMDG_01443	0
GPFGEMDG_01444	0
GPFGEMDG_01446	0
GPFGEMDG_01448	0
GPFGEMDG_01449	121
GPFGEMDG_01450	0
GPFGEMDG_01451	0
GPFGEMDG_01452	0
GPFGEMDG_01453	0
GPFGEMDG_01454	428
GPFGEMDG_01455	0
GPFGEMDG_01456	0
GPFGEMDG_01458	578
GPFGEMDG_01459	0
GPFGEMDG_01460	0
GPFGEMDG_01461	0
GPFGEMDG_01462	0
GPFGEMDG_01465	0
GPFGEMDG_01478	747
GPFGEMDG_01484	0
GPFGEMDG_01485	0
GPFGEMDG_01486	0
GPFGEMDG_01487	0
GPFGEMDG_01490	0
GPFGEMDG_01493	0
GPFGEMDG_01496	575
GPFGEMDG_01498	0
GPFGEMDG_01500	0
GPFGEMDG_01501	0
GPFGEMDG_01505	0
GPFGEMDG_01506	0
GPFGEMDG_01510	259
GPFGEMDG_01511	0
GPFGEMDG_01514	0
GPFGEMDG_01518	103
GPFGEMDG_01519	0
GPFGEMDG_01520	386
GPFGEMDG_01521	0
GPFGEMDG_01523	398
GPFGEMDG_01524	2914
GPFGEMDG_01526	489
GPFGEMDG_01531	0
GPFGEMDG_01534	0
GPFGEMDG_01535	293
GPFGEMDG_01552	358
GPFGEMDG_01553	0
GPFGEMDG_01554	0
GPFGEMDG_01555	119
GPFGEMDG_01560	0
GPFGEMDG_01562	1334
GPFGEMDG_01563	338
GPFGEMDG_01566	397
GPFGEMDG_01568	54
GPFGEMDG_01569	2510
GPFGEMDG_01571	0
GPFGEMDG_01573	0
GPFGEMDG_01576	0
GPFGEMDG_01577	2819
GPFGEMDG_01578	0
GPFGEMDG_01579	5862
GPFGEMDG_01580	0
GPFGEMDG_01581	1415
GPFGEMDG_01582	0
GPFGEMDG_01584	3156
GPFGEMDG_01592	0
GPFGEMDG_01594	3046
GPFGEMDG_01595	4824
GPFGEMDG_01596	0
GPFGEMDG_01598	0
GPFGEMDG_01601	0
GPFGEMDG_01602	0
GPFGEMDG_01603	0
GPFGEMDG_01604	0
GPFGEMDG_01605	0
GPFGEMDG_01606	384
GPFGEMDG_01609	812
GPFGEMDG_01610	458
GPFGEMDG_01611	535
GPFGEMDG_01616	550
GPFGEMDG_01618	621
GPFGEMDG_01623	105
GPFGEMDG_01624	0
GPFGEMDG_01627	1746
GPFGEMDG_01628	318
GPFGEMDG_01629	0
GPFGEMDG_01635	243
GPFGEMDG_01636	0
GPFGEMDG_01641	0
GPFGEMDG_01642	184
GPFGEMDG_01644	0
GPFGEMDG_01646	851
GPFGEMDG_01650	0
GPFGEMDG_01651	0
GPFGEMDG_01652	165
GPFGEMDG_01653	0
GPFGEMDG_01654	0
GPFGEMDG_01655	0
GPFGEMDG_01656	109
GPFGEMDG_01657	0
GPFGEMDG_01658	0
GPFGEMDG_01659	0
GPFGEMDG_01660	0
GPFGEMDG_01661	0
GPFGEMDG_01662	0
GPFGEMDG_01665	1
GPFGEMDG_01669	0
GPFGEMDG_01671	49
GPFGEMDG_01672	0
GPFGEMDG_01673	1505
GPFGEMDG_01674	0
GPFGEMDG_01675	0
GPFGEMDG_01677	0
GPFGEMDG_01678	1269
GPFGEMDG_01681	132
GPFGEMDG_01682	1778
GPFGEMDG_01687	4175
GPFGEMDG_01689	0
GPFGEMDG_01691	2454
GPFGEMDG_01693	2464
GPFGEMDG_01696	0
GPFGEMDG_01697	0
GPFGEMDG_01698	5020
GPFGEMDG_01699	12719
GPFGEMDG_01703	0
GPFGEMDG_01706	2426
GPFGEMDG_01709	0
GPFGEMDG_01710	5922
GPFGEMDG_01711	3030
GPFGEMDG_01712	0
GPFGEMDG_01713	0
GPFGEMDG_01716	0
GPFGEMDG_01717	0
GPFGEMDG_01718	344
GPFGEMDG_01720	0
GPFGEMDG_01721	135
GPFGEMDG_01724	0
GPFGEMDG_01726	0
GPFGEMDG_01727	0
GPFGEMDG_01731	0
GPFGEMDG_01738	274
GPFGEMDG_01739	1730
GPFGEMDG_01743	0
GPFGEMDG_01745	0
GPFGEMDG_01748	0
GPFGEMDG_01749	0
GPFGEMDG_01750	0
GPFGEMDG_01751	2350
GPFGEMDG_01752	122
GPFGEMDG_01756	0
GPFGEMDG_01771	0
GPFGEMDG_01783	4574
GPFGEMDG_01784	315
GPFGEMDG_01785	0
GPFGEMDG_01789	0
GPFGEMDG_01790	837
GPFGEMDG_01792	0
GPFGEMDG_01798	0
GPFGEMDG_01799	446
GPFGEMDG_01800	8496
GPFGEMDG_01801	335
GPFGEMDG_01802	113
GPFGEMDG_01803	0
GPFGEMDG_01804	0
GPFGEMDG_01805	8887
GPFGEMDG_01806	0
GPFGEMDG_01808	0
GPFGEMDG_01810	0
GPFGEMDG_01811	0
GPFGEMDG_01822	0
GPFGEMDG_01824	486
GPFGEMDG_01828	0
GPFGEMDG_01839	0
GPFGEMDG_01867	0
GPFGEMDG_01868	0
GPFGEMDG_01869	0
GPFGEMDG_01872	92
GPFGEMDG_01881	0
GPFGEMDG_01883	0
GPFGEMDG_01885	0
GPFGEMDG_01887	0
GPFGEMDG_01888	0
GPFGEMDG_01890	326
GPFGEMDG_01891	0
GPFGEMDG_01892	0
GPFGEMDG_01893	0
GPFGEMDG_01894	0
GPFGEMDG_01895	0
GPFGEMDG_01896	0
GPFGEMDG_01898	1457
GPFGEMDG_01900	2027
GPFGEMDG_01901	0
GPFGEMDG_01902	80
GPFGEMDG_01903	1294
GPFGEMDG_01904	861
GPFGEMDG_01905	0
GPFGEMDG_01906	445
GPFGEMDG_01907	512
GPFGEMDG_01908	230
GPFGEMDG_01909	4664
GPFGEMDG_01910	0
GPFGEMDG_01911	0
GPFGEMDG_01912	542
GPFGEMDG_01913	600
GPFGEMDG_01914	154
GPFGEMDG_01915	255
GPFGEMDG_01916	2084
GPFGEMDG_01917	0
GPFGEMDG_01918	67
GPFGEMDG_01919	0
GPFGEMDG_01920	0
GPFGEMDG_01921	0
GPFGEMDG_01922	0
GPFGEMDG_01923	0
GPFGEMDG_01924	0
GPFGEMDG_01925	0
GPFGEMDG_01926	0
GPFGEMDG_01927	478
GPFGEMDG_01928	0
GPFGEMDG_01929	0
GPFGEMDG_01930	0
GPFGEMDG_01931	0
GPFGEMDG_01932	0
GPFGEMDG_01933	0
GPFGEMDG_01934	0
GPFGEMDG_01935	0
GPFGEMDG_01938	0
GPFGEMDG_01939	1050
GPFGEMDG_01942	37
GPFGEMDG_01943	1227
GPFGEMDG_01944	690
GPFGEMDG_01945	0
GPFGEMDG_01946	4909
GPFGEMDG_01947	0
GPFGEMDG_01948	0
GPFGEMDG_01950	0
GPFGEMDG_01951	560
GPFGEMDG_01952	0
GPFGEMDG_01953	0
GPFGEMDG_01954	0
GPFGEMDG_01955	0
GPFGEMDG_01956	320
GPFGEMDG_01957	0
GPFGEMDG_01965	0
GPFGEMDG_01966	354
GPFGEMDG_01969	0
GPFGEMDG_01970	0
GPFGEMDG_01972	194
GPFGEMDG_01973	0
GPFGEMDG_01975	0
GPFGEMDG_01976	500
GPFGEMDG_01977	0
GPFGEMDG_01981	0
GPFGEMDG_01982	0
GPFGEMDG_01984	0
GPFGEMDG_01985	1133
GPFGEMDG_01989	0
GPFGEMDG_01990	1074
GPFGEMDG_01991	0
GPFGEMDG_01992	1
GPFGEMDG_01993	0
GPFGEMDG_01994	0
GPFGEMDG_01995	3889
GPFGEMDG_01996	253
GPFGEMDG_01997	477
GPFGEMDG_01998	0
GPFGEMDG_02000	0
GPFGEMDG_02001	0
GPFGEMDG_02002	382
GPFGEMDG_02003	244
GPFGEMDG_02004	0
GPFGEMDG_02005	0
GPFGEMDG_02006	0
GPFGEMDG_02007	0
GPFGEMDG_02019	1194
GPFGEMDG_02020	0
GPFGEMDG_02021	0
GPFGEMDG_02022	0
GPFGEMDG_02023	858
GPFGEMDG_02024	284
GPFGEMDG_02025	0
GPFGEMDG_02026	0
GPFGEMDG_02028	879
GPFGEMDG_02029	0
GPFGEMDG_02030	998
GPFGEMDG_02031	0
GPFGEMDG_02032	0
GPFGEMDG_02033	3387
GPFGEMDG_02034	0
GPFGEMDG_02036	0
GPFGEMDG_02037	602
GPFGEMDG_02038	0
GPFGEMDG_02040	0
GPFGEMDG_02043	2
GPFGEMDG_02044	0
GPFGEMDG_02045	0
GPFGEMDG_02046	444
GPFGEMDG_02047	0
GPFGEMDG_02051	172
GPFGEMDG_02052	0
GPFGEMDG_02058	0
GPFGEMDG_02059	0
GPFGEMDG_02063	0
GPFGEMDG_02064	0
GPFGEMDG_02066	0
GPFGEMDG_02067	446
GPFGEMDG_02068	0
GPFGEMDG_02069	0
GPFGEMDG_02070	0
GPFGEMDG_02072	0
GPFGEMDG_02073	0
GPFGEMDG_02074	0
GPFGEMDG_02075	0
GPFGEMDG_02076	0
GPFGEMDG_02077	0
GPFGEMDG_02078	0
GPFGEMDG_02080	0
GPFGEMDG_02081	0
GPFGEMDG_02082	0
GPFGEMDG_02083	126
GPFGEMDG_02084	4130
GPFGEMDG_02085	327
GPFGEMDG_02086	0
GPFGEMDG_02087	0
GPFGEMDG_02092	445
GPFGEMDG_02093	0
GPFGEMDG_02097	127
GPFGEMDG_02100	0
GPFGEMDG_02101	0
GPFGEMDG_02104	0
GPFGEMDG_02105	603
GPFGEMDG_02106	0
GPFGEMDG_02107	0
GPFGEMDG_02109	467
GPFGEMDG_02111	0
GPFGEMDG_02113	269
GPFGEMDG_02123	0
GPFGEMDG_02124	0
GPFGEMDG_02125	0
GPFGEMDG_02140	0
GPFGEMDG_02148	0
GPFGEMDG_02150	0
GPFGEMDG_02164	0
GPFGEMDG_02166	602
GPFGEMDG_02167	0
GPFGEMDG_02172	0
GPFGEMDG_02173	0
GPFGEMDG_02178	0
GPFGEMDG_02179	137
GPFGEMDG_02180	74
GPFGEMDG_02182	89
GPFGEMDG_02183	0
GPFGEMDG_02196	0
GPFGEMDG_02199	0
GPFGEMDG_02202	0
GPFGEMDG_02205	0
GPFGEMDG_02208	4458
GPFGEMDG_02209	0
GPFGEMDG_02211	0
GPFGEMDG_02224	121
GPFGEMDG_02227	0
GPFGEMDG_02229	0
GPFGEMDG_02230	0
GPFGEMDG_02231	0
GPFGEMDG_02245	930
GPFGEMDG_02260	399
GPFGEMDG_02261	0
GPFGEMDG_02264	1065
GPFGEMDG_02269	102
GPFGEMDG_02275	523
GPFGEMDG_02277	1562
GPFGEMDG_02278	3351
GPFGEMDG_02279	321
GPFGEMDG_02280	0
GPFGEMDG_02281	0
GPFGEMDG_02283	47
GPFGEMDG_02286	127
GPFGEMDG_02287	5859
GPFGEMDG_02288	0
GPFGEMDG_02289	0
GPFGEMDG_02290	130
GPFGEMDG_02291	1265
GPFGEMDG_02292	1566
GPFGEMDG_02293	0
GPFGEMDG_02294	69
GPFGEMDG_02295	0
GPFGEMDG_02296	0
GPFGEMDG_02297	0
GPFGEMDG_02298	0
GPFGEMDG_02299	0
GPFGEMDG_02300	0
GPFGEMDG_02301	0
GPFGEMDG_02302	54
GPFGEMDG_02303	960
GPFGEMDG_02304	0
GPFGEMDG_02305	0
GPFGEMDG_02306	0
GPFGEMDG_02308	1
GPFGEMDG_02310	0
GPFGEMDG_02313	0
GPFGEMDG_02314	0
GPFGEMDG_02315	1199
GPFGEMDG_02318	0
GPFGEMDG_02319	0
GPFGEMDG_02324	1519
GPFGEMDG_02331	0
GPFGEMDG_02335	0
GPFGEMDG_02337	205
GPFGEMDG_02338	0
GPFGEMDG_02339	70
GPFGEMDG_02340	1601
GPFGEMDG_02341	0
GPFGEMDG_02344	82
GPFGEMDG_02345	0
GPFGEMDG_02352	253
GPFGEMDG_02354	71
GPFGEMDG_02356	0
GPFGEMDG_02357	0
GPFGEMDG_02359	0
GPFGEMDG_02363	0
GPFGEMDG_02364	0
GPFGEMDG_02365	0
GPFGEMDG_02370	320
GPFGEMDG_02373	1315
GPFGEMDG_02375	1723
GPFGEMDG_02376	103
GPFGEMDG_02378	0
GPFGEMDG_02380	270
GPFGEMDG_02383	0
GPFGEMDG_02385	0
GPFGEMDG_02386	984
GPFGEMDG_02387	0
GPFGEMDG_02388	0
GPFGEMDG_02390	0
GPFGEMDG_02391	773
GPFGEMDG_02394	1960
GPFGEMDG_02396	0
GPFGEMDG_02398	50
GPFGEMDG_02399	0
GPFGEMDG_02400	154
GPFGEMDG_02402	0
